,Port Code
1983,3803
1984,3803
1985,3803
1986,3803
1987,2923
1988,2923
1989,2923
1990,2923
1991,3429
1992,2071
1993,2071
1994,2072
1995,3945
1996,3945
1997,2308
1998,3803
1999,3803
2000,3803
2001,3803
2002,3803
2003,3803
2004,3803
2005,3803
2006,45071
2007,45071
2008,2780
2009,2923
2010,2745
2011,3092
2012,7053
2013,7053
2014,7053
2015,2071
2016,3945
2017,3945
2018,12991
2019,4058
2020,7126
2021,45071
2022,45071
2023,45071
2024,45071
2025,45071
2026,45071
2027,45071
2028,45071
2029,2745
2030,2745
2031,2745
2032,2745
2033,4808
2034,7053
2035,2894
2036,2894
2037,2894
2038,4058
2039,4058
2040,4069
2041,4069
2042,45066
2043,45071
2044,45071
2045,45071
2046,45071
2047,45071
2048,45071
2049,45071
2050,45071
2051,2745
2052,2745
2053,2745
2054,2745
2055,11878
2056,2894
2057,2894
2058,2894
2059,2866
2060,2866
2061,2866
2062,2866
2063,4118
2064,2622
2065,45066
2066,45071
2067,45071
2068,45071
2069,45071
2070,45071
2071,45071
2072,45071
2073,5644
2074,5644
2075,3179
2076,3179
2077,3179
2078,3179
2079,2625
2080,2625
2081,2625
2082,2625
2083,2866
2084,2832
2085,3991
2086,3840
2087,3840
2088,25324
2089,25324
2090,7099
2091,45071
2092,45071
2093,45071
2094,45071
2095,45071
2096,45071
2097,5644
2098,5644
2099,5644
2100,3970
2101,3970
2102,3970
2103,3970
2104,2661
2105,2661
2106,2832
2107,2832
2108,49022
2109,3991
2110,27665
2111,7044
2112,7044
2113,3840
2114,3840
2115,3840
2116,25324
2117,25324
2118,25324
2119,45071
2120,45071
2121,45071
2122,45071
2123,6996
2124,5644
2125,3031
2126,2822
2127,2832
2128,2832
2129,3915
2130,3915
2131,3915
2132,3787
2133,3498
2134,3498
2135,3498
2136,3498
2137,3498
2138,3840
2139,3840
2140,3840
2141,25324
2142,25324
2143,45071
2144,45071
2145,45071
2146,45071
2147,5644
2148,2839
2149,2839
2150,3703
2151,2822
2152,2190
2153,2489
2154,5144
2155,3787
2156,3498
2157,3498
2158,3498
2159,3498
2160,3498
2161,3498
2162,3498
2163,3498
2164,3498
2165,3498
2166,3840
2167,5644
2168,3917
2169,3862
2170,3284
2171,28654
2172,3258
2173,3739
2174,3739
2175,41549
2176,2190
2177,2190
2178,2190
2179,18659
2180,4110
2181,2643
2182,16226
2183,3313
2184,3313
2185,6415
2186,3742
2187,4001
2188,4001
2189,4001
2190,3498
2191,3498
2192,3498
2193,3498
2194,3498
2195,3498
2196,3498
2197,3498
2198,6996
2199,6996
2200,5644
2201,3917
2202,3862
2203,16874
2204,3921
2205,3749
2206,2190
2207,2190
2208,2189
2209,2006
2210,2441
2211,3366
2212,2536
2213,2716
2214,3313
2215,6415
2216,4001
2217,4001
2218,4001
2219,4001
2220,3498
2221,3498
2222,3498
2223,3498
2224,3498
2225,3498
2226,3498
2227,2253
2228,2253
2229,3862
2230,18700
2231,3749
2232,3749
2233,3749
2234,2189
2235,2189
2236,4935
2237,4825
2238,4659
2239,2536
2240,2716
2241,3313
2242,5167
2243,4001
2244,4001
2245,4001
2246,4001
2247,3498
2248,3498
2249,3498
2250,3498
2251,3498
2252,6996
2253,18707
2254,7050
2255,4044
2256,3749
2257,3749
2258,4935
2259,2554
2260,2554
2261,2554
2262,2924
2263,4619
2264,4619
2265,4018
2266,3354
2267,5339
2268,3544
2269,3544
2270,6415
2271,5167
2272,4001
2273,4001
2274,4001
2275,4001
2276,4001
2277,3498
2278,3498
2279,3498
2280,3498
2281,4121
2282,2811
2283,2242
2284,3363
2285,2600
2286,2850
2287,2850
2288,3264
2289,3264
2290,3264
2291,2554
2292,22312
2293,2979
2294,2158
2295,4659
2296,4659
2297,4659
2298,4619
2299,4018
2300,4018
2301,4018
2302,4018
2303,4066
2304,4066
2305,2675
2306,2675
2307,2675
2308,2675
2309,6415
2310,5167
2311,4001
2312,4001
2313,4001
2314,4001
2315,4001
2316,4001
2317,4001
2318,4001
2319,3498
2320,3498
2321,4121
2322,2811
2323,2811
2324,2756
2325,3363
2326,2414
2327,4078
2328,2850
2329,3264
2330,3264
2331,3264
2332,10098
2333,2979
2334,2158
2335,2158
2336,4659
2337,4659
2338,4659
2339,4619
2340,4018
2341,4018
2342,4018
2343,4018
2344,4066
2345,4066
2346,2675
2347,2675
2348,2675
2349,2675
2350,2675
2351,3544
2352,4001
2353,4001
2354,4001
2355,4001
2356,4001
2357,4001
2358,4001
2359,4001
2360,4001
2361,3498
2362,4121
2363,2811
2364,2971
2365,2769
2366,4926
2367,28644
2368,3264
2369,3264
2370,3264
2371,10098
2372,3115
2373,3115
2374,2158
2375,2158
2376,2158
2377,2158
2378,2158
2379,4659
2380,4659
2381,4659
2382,4018
2383,4018
2384,4018
2385,4018
2386,4018
2387,4066
2388,4066
2389,4066
2390,2675
2391,2675
2392,2675
2393,2675
2394,2675
2395,4001
2396,4001
2397,4001
2398,4001
2399,4001
2400,4001
2401,4001
2402,4001
2403,4001
2404,4001
2405,4121
2406,3421
2407,3095
2408,2552
2409,3530
2410,4078
2411,4078
2412,4078
2413,4078
2414,2850
2415,3264
2416,3264
2417,3508
2418,3115
2419,2164
2420,2158
2421,2158
2422,2158
2423,2158
2424,2158
2425,2158
2426,2158
2427,2158
2428,4018
2429,4018
2430,4018
2431,4018
2432,4066
2433,4066
2434,4066
2435,2675
2436,2675
2437,2675
2438,2675
2439,2675
2440,4001
2441,4001
2442,4001
2443,4001
2444,4001
2445,4001
2446,4001
2447,4001
2448,4001
2449,4121
2450,4255
2451,3095
2452,4078
2453,4078
2454,4078
2455,3264
2456,3264
2457,2732
2458,3320
2459,2164
2460,2164
2461,2164
2462,2164
2463,2164
2464,2158
2465,2158
2466,2158
2467,2158
2468,2158
2469,2158
2470,2158
2471,2158
2472,2158
2473,4018
2474,4018
2475,4018
2476,4066
2477,4066
2478,4066
2479,2675
2480,2675
2481,2675
2482,2675
2483,2675
2484,2675
2485,5167
2486,4001
2487,4001
2488,4001
2489,4001
2490,4001
2491,4001
2492,4001
2493,2656
2494,26097
2495,3530
2496,3530
