,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2
30,-121.0,45.0,1546.140022277832,220.43417,6634,-122.7035916567065,45.64459,151.56171866497587,233.7128,2011750.3695503597,1408225258.6852517,0.6925143690721636,748.5880197598964,1886441809.7949388,153044201.74405512,217021847.23350847,49.20327023441312,69.77189906259629,Solar,347583904.51887894,6.951678090377579,20364.597075496426,2.826139670902468,2.2586296445515153,3.9155828239204915,,2.2586296445515153,LOHC,12184.58492523791,,112931482.22757576,460515386.7464547,9.210307734929094
31,-121.0,46.0,1496.134991645813,132.13129,6634,-122.7035916567065,45.64459,138.15239227334118,192.684,2078988.713292778,1455292099.3049445,0.41510268997334254,1248.8667809700212,3147144288.044453,158159368.5164369,345427179.3120414,50.847781624766185,111.05384363678874,Solar,352699071.2912607,7.0539814258252145,20364.597075496426,2.826139670902468,2.2586296445515153,3.9155828239204915,,2.2586296445515153,LOHC,12074.291886396364,,112931482.22757576,465630553.5188365,9.312611070376729
32,-121.0,47.0,1453.4300410747528,299.08087,3275,-122.42362220998923,47.27585,112.26399011148575,165.6768,2140073.9445938375,1498051761.2156863,0.9395902640212439,551.738326853591,1390380583.6710494,162806436.3655713,166496915.64126992,52.34180055898885,53.5282790209457,Solar,357346139.14039516,7.146922782807903,20179.924054574058,2.825928052472957,2.2583195502191615,3.9143502809367243,,2.2583195502191615,LOHC,11963.969837467193,,112915977.51095808,470262116.65135324,9.405242333027065
33,-121.0,50.0,1335.5349707603457,87.76631,2586,-122.71542696864113,48.8319,179.90961052059174,241.1656,2328990.127022426,1630293088.9156983,0.27572599472868436,1880.1562787328803,4737993822.406858,177178262.40021977,507458718.292133,56.9623012515102,163.1465169173364,Solar,371717965.1750436,7.434359303500871,20154.298136891783,2.8258985346037373,2.2582762963117906,3.9141783580910348,,2.2582762963117906,LOHC,11632.836458839787,,112913814.81558953,484631779.99063313,9.692635599812661
34,-121.0,52.0,1255.964994430542,116.29771,2586,-122.71542696864113,48.8319,372.8770218000093,513.7024,2476540.170296956,1733578119.207869,0.3653600313653162,1418.8962001720959,3575618424.4336815,188403153.38671845,389068216.5268762,60.57107138632503,125.08431145537767,Solar,382942856.1615423,7.658857123230846,20154.298136891783,2.8258985346037373,2.2582762963117906,3.9141783580910348,,2.2582762963117906,LOHC,11411.948369928026,,112913814.81558953,495856670.97713184,9.917133419542637
35,-121.0,55.0,1218.7349951267242,554.7777,1934,-123.2597273115,49.1586226685,668.0754811125216,1209.0413999999998,2552193.68741488,1786535581.1904159,1.742885546695442,297.4423427757034,749554703.7947726,194158505.69667265,101227384.30483219,62.42140058386309,32.544312612398066,Wind,295767087.079656,5.91534174159312,20178.00630192884,2.9391600425737443,2.3655465075973807,4.021567614846581,,2.3655465075973807,LOHC,11080.431424308677,,118277325.37986903,414044412.45952505,8.2808882491905
36,-121.0,56.0,1325.679988861084,338.51837,1934,-123.2597273115,49.1586226685,776.4415009680994,1179.1603,2346303.623294693,1642412536.3062851,1.0634868242971915,487.46063266143085,1228400794.3068058,178495389.14541334,149998916.30981308,57.385753707978374,48.224219734920716,Wind,344538619.0846369,6.890772381692739,20178.00630192884,2.9825064505159755,2.408892915539612,4.064914022788812,,2.408892915539612,LOHC,10969.879353830538,,120444645.7769806,464983264.8616175,9.299665297232352
37,-120.0,36.0,1842.154974937439,148.10313,4946,-119.21611784275686,34.16472,215.792275921616,303.4066,1688483.2185737593,1181938253.0016315,0.4652797051816541,1114.1856273241244,2807747780.8567934,128451606.2510335,310858895.38811594,41.2968215874244,99.94023988005647,Solar,322991309.0258573,6.459826180517147,21157.43841776322,2.827026907908546,2.2599297542237875,3.9207504161254993,,2.2599297542237875,LOHC,13163.070101978175,,112996487.71118937,435987796.7370467,8.719755934740935
38,-120.0,37.0,1784.1200041770935,137.57361,4731,-121.33982489431968,37.95234,158.7950643589376,177.3035,1743407.256188852,1220385079.3321965,0.4322002425038273,1199.4624463784612,3022645364.873722,132629960.39506236,332746688.99099874,42.64015041491928,106.97710250670305,Solar,327169663.16988623,6.543393263397725,20829.80770501801,2.826664368488291,2.2593985083406416,3.918638854198659,,2.2593985083406416,LOHC,13053.34522067546,,112969925.41703208,440139588.5869183,8.802791771738367
39,-120.0,38.0,1825.729947090149,41.7581,4731,-121.33982489431968,37.95234,117.83596755121074,159.5648,1703673.5176259042,1192571462.3381329,0.13118694018786797,3951.673538971273,9958217318.207607,129607210.45912845,1039150011.889948,41.66834501325147,334.08373702795836,Solar,324146913.2339523,6.482938264679046,20829.80770501801,2.826664368488291,2.2593985083406416,3.918638854198659,,2.2593985083406416,LOHC,12943.58007922501,,112969925.41703208,437116838.65098435,8.742336773019687
40,-120.0,42.0,1685.2050375938416,101.578255,6367,-121.55685725036533,38.561485000000005,404.0963514404131,604.4178,1845738.4661246734,1292016926.2872713,0.3191174996724707,1624.5049573623442,4093752492.5531073,140414822.06337732,441841315.83136445,45.14296102805317,142.05071094386477,Solar,334954524.83820117,6.699090496764024,20842.59408623367,2.8295460698613875,2.2610579379662274,3.920360423223314,,2.2610579379662274,LOHC,12504.137963586056,,113052896.89831138,448007421.73651254,8.96014843473025
41,-120.0,45.0,1507.0850682258606,173.92328,6634,-122.7035916567065,45.64459,223.73580040333533,312.1333,2063883.3379562618,1444718336.5693834,0.5463960987362406,948.7768331399703,2390917619.5127254,157010224.8923509,268403822.7511124,50.47833525809746,86.29105625875495,Solar,351549927.66717476,7.030998553343495,20364.597075496426,2.826139670902468,2.2586296445515153,3.9155828239204915,,2.2586296445515153,LOHC,12174.183075526505,,112931482.22757576,464481409.89475054,9.28962819789501
